,Menu,Energi,Kalori,Lemak,Protein,Karbohidrat,Gula,Lemak Jenuh,Lemak Trans,Kolesterol,Serat,Sodium,Kalium,Lemak tak Jenuh Ganda,Lemak tak Jenuh Tunggal
0,Ayam Goreng Mcd Spicy,1130,270,16.20,17.90,13.10,0.00,,,,,,,,
1,Beef Burger,1079,258,7.80,12.80,32.10,,,,,,,,,
2,Iced Lemon Tea,665,159,0.00,0.00,39.60,38.40,,,,,,,,
3,Fried Chicken (Thigh),1381,330,17.00,28.00,16.00,0.00,35.000,0.000,85,0.0,740,0,,
4,McFlurry - Oreo,2176,520,17.00,12.00,80.00,64.00,9.000,0.500,45,1.0,260,,,
5,French Fries (Small),962,230,11.00,3.00,29.00,,,,,,160,,,
6,French Fries (Medium),1561,373,17.60,4.10,48.70,,2.100,0.200,0,4.1,280,,,
7,Rice,887,212,0.00,5.00,48.00,,,,,,,,,
8,Cheeseburger,1255,300,12.00,15.00,33.00,7.00,6.000,0.500,40,2.0,680,,,
9,McFlurry - Choco,1025,245,5.09,5.00,45.00,0.00,0.000,0.000,3,5.0,21,0,0.000,0.000
10,Ice Cream Cone,711,170,4.50,5.00,27.00,20.00,,3.000,1520,0.0,80,,,
11,Double Choco Pie,1008,241,13.00,3.00,26.00,9.00,4.000,0.000,0,0.0,124,0,0.000,0.000
12,Scrambled Eggs,586,140,9.00,13.00,1.00,,3.500,,425,,120,,,
13,Bubur Ayam,808,193,4.90,6.00,29.80,0.20,,,,2.0,,,,
14,McNuggets (6),1130,270,16.00,15.00,16.00,0.00,,,,1.0,,,,
15,McSpicy Chicken,2448,585,26.00,23.00,65.00,0.00,,,,,,,,
16,Chicken Wings,640,153,9.00,15.00,3.00,,,,,,,,,
17,McSpicy Chicken Burger,2184,522,25.00,24.00,50.00,,5.100,,75,3.0,1280,,,
18,Spicy Chicken Bites,1130,270,17.00,14.00,18.00,0.00,3.000,0.000,35,0.0,600,0,,
19,Hash Brown,628,150,9.00,1.00,15.00,0.00,1.500,0.000,0,2.0,310,,,
20,Coffee Float,1130,270,2.00,0.00,3.00,,,,,,,,,
21,Iced Coffee,795,190,7.00,1.00,31.00,30.00,4.500,0.000,25,0.0,50,,,
22,French Fries (Large),2134,510,24.00,7.00,66.00,0.00,3.500,0.000,0,6.0,,,,
23,Potato Wedges,1464,350,16.00,4.70,44.00,0.70,1.600,,,4.8,,,,
24,Apple Pie,1046,250,13.00,2.00,32.00,13.00,7.000,,,4.0,170,,,
25,Chocolate Sundae,1364,326,10.56,5.00,53.00,,,,5,5.9,23,208,,
26,Big Mac,2301,550,29.00,25.00,46.00,9.00,10.000,1.000,75,,970,,,
27,McChicken,1506,360,16.00,14.00,30.00,,,,35,,,,,
28,Double Cheeseburger,1841,440,23.00,25.00,34.00,7.00,11.000,,80,2.0,1150,,,
29,Strawberry Sundae,1218,291,5.77,4.00,56.00,,,,4,,,,,
30,Breakfast Wrap,1268,303,21.78,21.97,11.36,0.15,9.406,0.000,274,7.0,,,,
31,McNuggets (9),1657,396,24.30,21.60,23.40,,4.000,,68,,,,,
32,Fish Fillet Burger,1632,390,19.00,17.00,38.00,5.00,4.000,,45,2.0,570,0,,
33,Chicken Snack Wrap,1381,330,16.00,14.00,33.00,2.00,5.000,,35,0.0,780,0,,
34,Crispy Chicken Breast,1046,250,14.00,16.00,15.00,2.00,2.000,,350,1.3,570,,,
35,Hamburger,1004,240,8.00,12.00,31.00,6.00,3.000,0.000,30,1.0,480,,,
36,Sausage Wrap,1255,300,16.00,13.00,24.00,2.00,7.000,,165,3.0,700,,,
37,Sausage McMuffin,1674,400,25.00,14.00,29.00,3.00,,,,2.0,,,,
38,Egg McMuffin,1255,300,12.00,18.00,30.00,,,,,,820,,,
39,Chicken Muffin With Egg,1490,356,16.00,23.00,30.00,,6.600,,362,3.0,750,,,
40,Saussage McMuffin with Egg,1418,339,15.80,21.30,26.70,,,,,,,,,
41,Triple Cheeseburger,2176,520,28.00,32.00,35.00,7.00,14.000,1.500,110,2.0,1180,,,
42,Chicken Mcmuffin,1632,390,20.00,17.00,35.00,,7.000,,46,3.0,870,,,
43,Choco Top,749,179,5.81,3.00,29.00,,,,2,,,,,
44,Big Breakfast,2197,525,25.00,27.00,49.00,,7.000,,445,5.0,970,,,
45,Fillet-O-Fish,1418,339,14.00,13.80,39.90,,,,,,,,,
46,Chicken Muffin,1678,401,20.00,17.00,38.00,,5.700,,151,3.0,860,,,
47,Fish Bites,1046,250,13.00,11.00,21.00,,2.000,0.000,25,1.0,,,,
48,Hotcakes,2218,530,9.00,8.00,92.00,14.00,2.000,,20,3.0,610,,,
49,McDouble,1590,380,18.00,23.00,34.00,7.00,8.000,1.000,70,2.0,,,,
